time, Quad.IMU.AX
3.014964,-0.306135
3.019964,-0.373056
3.024963,0.223040
3.029963,-0.264869
3.034962,-0.467268
3.039962,0.068978
3.044962,0.016473
3.049961,0.560655
3.054961,-0.307504
3.059961,-0.474995
3.064960,-0.082615
3.069960,0.271831
3.074960,0.129779
3.079959,-0.572741
3.084959,0.411202
3.089958,-0.026989
3.094958,-1.009127
3.099958,-0.470254
3.104957,-0.339078
3.109957,0.051920
3.114957,0.078001
3.119956,-0.800190
3.124956,0.089405
3.129956,0.923396
3.134955,1.002412
3.139955,-0.033861
3.144954,-0.705524
3.149954,-1.040068
3.154954,0.486985
3.159953,0.003639
3.164953,-0.223124
3.169953,-0.498276
3.174952,0.053956
3.179952,0.207081
3.184952,-0.668009
3.189951,-0.303316
3.194951,0.829320
3.199950,-0.277382
3.204950,-0.431818
3.209950,0.673156
3.214949,0.310988
3.219949,-0.605394
3.224949,0.208214
3.229948,0.156125
3.234948,0.430765
3.239948,-0.511108
3.244947,-0.058236
3.249947,0.168196
3.254946,-0.209962
3.259946,-0.044215
3.264946,-0.727845
3.269945,-0.589845
3.274945,0.568970
3.279945,-0.950729
3.284944,-0.310439
3.289944,-0.203200
3.294944,-0.314895
3.299943,-0.355024
3.304943,-0.299590
3.309942,-0.012794
3.314942,0.660733
3.319942,-1.067792
3.324941,-0.047866
3.329941,0.739819
3.334941,-0.255013
3.339940,-0.639473
3.344940,-0.006373
3.349940,-0.244414
3.354939,-0.485184
3.359939,-0.793779
3.364938,-0.115882
3.369938,-0.570496
3.374938,0.269222
3.379937,-0.030874
3.384937,-0.392588
3.389937,-1.004150
3.394936,-0.414821
3.399936,-0.703462
3.404936,0.726909
3.409935,0.075875
3.414935,0.052202
3.419935,0.371671
3.424934,0.734037
3.429934,0.024844
3.434933,0.187131
3.439933,1.425291
3.444933,-0.116103
3.449932,-0.010566
3.454932,-0.130975
3.459932,0.520751
3.464931,-0.496501
3.469931,-0.315714
3.474931,0.979763
3.479930,-0.501755
3.484930,0.090105
3.489929,-0.273976
3.494929,0.133456
3.499929,0.248097
3.504928,-0.580129
3.509928,-0.566695
3.514928,-0.867797
3.519927,-0.663437
3.524927,0.595700
3.529927,-0.565645
3.534926,-0.285543
3.539926,-0.849102
3.544925,-0.334178
3.549925,-0.105113
3.554925,0.261046
3.559924,0.259301
3.564924,0.121866
3.569924,-0.211704
3.574923,0.013388
3.579923,-0.576817
3.584923,0.677210
3.589922,-0.716288
3.594922,0.085971
3.599921,0.489111
3.604921,0.378763
3.609921,0.849065
3.614920,0.210027
3.619920,0.109045
3.624920,-0.581956
3.629919,-1.087265
3.634919,0.909430
3.639919,0.732693
3.644918,0.182828
3.649918,-0.775316
3.654917,0.152257
3.659917,0.204547
3.664917,0.753951
3.669916,-0.259219
3.674916,0.106397
3.679916,-0.175358
3.684915,0.452919
3.689915,-0.597854
3.694915,0.116646
3.699914,-0.928511
3.704914,-1.058207
3.709913,1.409200
3.714913,0.683700
3.719913,-0.308184
3.724912,0.258047
3.729912,0.037259
3.734912,0.143010
3.739911,-0.558510
3.744911,0.419558
3.749911,0.516688
3.754910,0.313305
3.759910,-0.327707
3.764910,0.486047
3.769909,-0.047668
3.774909,0.479674
3.779908,0.137722
3.784908,-0.750319
3.789908,0.806919
3.794907,0.195648
3.799907,0.183486
3.804907,1.071901
3.809906,-1.012483
3.814906,-0.140555
3.819906,-0.644206
3.824905,0.556355
3.829905,-0.266853
3.834904,-0.557419
3.839904,-0.532702
3.844904,0.822714
3.849903,0.977247
3.854903,-0.182414
3.859903,-0.527664
3.864902,0.206283
3.869902,0.213294
3.874902,0.789260
3.879901,-0.452340
3.884901,-0.181244
3.889900,-0.783131
3.894900,0.360132
3.899900,0.303656
3.904899,-0.604450
3.909899,0.367978
3.914899,0.574209
3.919898,-0.614918
3.924898,0.505145
3.929898,-0.121207
3.934897,0.179814
3.939897,0.248626
3.944896,-0.161578
3.949896,-0.403618
3.954896,0.051921
3.959895,-0.775343
3.964895,-0.431300
3.969895,-0.387024
3.974894,0.219289
3.979894,0.406384
3.984894,-0.448148
3.989893,-0.154367
3.994893,0.962738
3.999892,-0.216690
4.004892,0.138614
4.009892,0.670890
4.014892,0.027590
4.019891,-0.527613
4.024891,0.557857
4.029891,-0.334121
4.034890,-0.354639
4.039890,-0.768845
4.044889,-0.486696
4.049889,-0.783230
4.054889,0.284424
4.059888,-0.178791
4.064888,-0.731075
4.069888,-0.234481
4.074887,0.161828
4.079887,-0.202698
4.084887,-0.111046
4.089886,0.544465
4.094886,-0.269667
4.099885,0.044756
4.104885,0.004426
